     DATE        TIME   ,  Infosys,Wipro,TATA MOTORS,BAJAJ FINANCE,BANK OF INDIA,BIRLA,BOSCH,HDFC
2021-01-27 12:19:28.243809,1317.31,450.12,270.09,4864.07,50.07,719.45,385.11,15774.1,1451.54
2021-01-27 12:19:39.738998,1317.31,450.12,270.09,4863.83,50.07,719.45,385.11,15774.1,1451.54
2021-01-27 12:19:50.751201,1317.31,450.12,270.09,4863.8,50.07,719.45,385.11,15774.1,1451.54
2021-01-27 12:20:01.987539,1317.31,450.12,270.09,4863.8,50.07,719.45,385.11,15774.1,1451.54
2021-01-27 12:20:18.015433,1317.31,450.12,270.09,4863.8,50.07,719.45,385.11,15774.1,1451.54
2021-01-27 12:20:29.149302,1317.31,450.12,270.09,4863.8,50.07,719.45,385.11,15774.1,1451.29
2021-01-27 12:20:40.702726,1317.31,450.12,270.09,4863.8,50.07,719.45,385.11,15774.1,1451.29
2021-01-27 12:20:52.785057,1317.31,450.12,270.09,4863.8,50.07,719.45,385.11,15774.1,1451.29
2021-01-27 12:21:03.873001,1317.31,450.12,270.09,4863.8,50.07,719.45,385.11,15774.1,1451.29
2021-01-27 12:21:15.056131,1317.3,450.12,270.09,4863.83,50.07,719.45,385.11,15774.1,1451.29
2021-01-27 12:21:26.349098,1317.29,450.12,270.09,4863.8,50.07,719.45,385.11,15774.1,1451.29
2021-01-27 12:21:37.370094,1317.29,450.13,270.09,4863.76,50.07,719.43,385.11,15774.1,1451.29
2021-01-27 12:21:48.619909,1317.29,450.12,270.09,4863.76,50.07,719.43,385.11,15774.26,1451.29
2021-01-27 12:21:59.770922,1317.29,450.12,270.09,4863.76,50.07,719.43,385.11,15774.26,1451.29
2021-01-27 12:22:11.251840,1317.29,450.12,270.09,4863.76,50.07,719.43,385.13,15774.26,1451.29
2021-01-27 12:22:23.133101,1317.29,450.13,270.09,4863.76,50.07,719.43,385.13,15774.26,1451.18
2021-01-27 12:22:34.878256,1317.29,450.13,270.09,4863.76,50.07,719.43,385.13,15774.26,1451.18
2021-01-27 12:22:46.613295,1317.29,450.13,270.09,4863.76,50.07,719.43,385.13,15774.26,1451.18
2021-01-27 12:22:57.863901,1317.29,450.13,270.09,4863.74,50.07,719.43,385.13,15774.26,1451.18
2021-01-27 12:23:09.109553,1317.29,450.13,270.09,4863.74,50.07,719.43,385.13,15774.26,1451.18
2021-01-27 12:23:20.218627,1317.29,450.14,270.09,4863.74,50.07,719.41,385.13,15774.47,1451.18
2021-01-27 12:23:31.153445,1317.28,450.14,270.09,4863.74,50.07,719.41,385.13,15774.47,1451.18
2021-01-27 12:23:42.209078,1317.28,450.14,270.09,4863.74,50.07,719.41,385.13,15774.47,1451.18
2021-01-27 12:23:54.529759,1317.28,450.14,270.08,4863.73,50.07,719.41,385.13,15774.47,1451.18
